Speed,EncodedPolyLine
55.3,iijvFpzhdMxCoLnAoKfAuQz@yP~@_QCiNMmHc@gLuAmk@[uOa@qS_@eN_@sMc@wP
55.92,s~pvFjb{cMgn@in@cK{F}JwBwIUyGp@qFv@qG|@wkAvO
3.73,wnlwF~pvbMTrBYxDi@`DsA|BsBxAsDzA{Cf@iCDgCm@oCu@y@a@yFwAoImCwRcCwDgA{@i@}COiDaAsQiCwK}AqUiC
4.97,ucmwFjkwbMxAEtAK|DkAlCuArAkAhAsB\sDL{Cc@aE{AuK_@sBwAyCyBoEeDoGeCoEiCyEoCaFcDwG}CcHu@mBgAuB
24.85,}emwF|jwbM|CF~CU~FoCzBqBj@kBVsCNoCg@wFaB_LiF{L}IkP}IkP}GyOeCkGq@qEa@qF
14.29,wiqwFnhvbMvD^xb@lFxQvCrb@hHlLjChHnBPgBh@gA|@WzANnDv@|Cl@|ATvBT`E?fFKzD{@zDcAvC}@dD}@zFaBtF}AtF{ApH}DnIqEnOcI~McHxLeGlHcCjHeF
14.29,uiqwFphvbMjc@`F|r@pLjMfCbQlEdJz@
3.73,m}pwFfivbMmOwAiTiAaUeAyVm@oGP{Cu@uCwA
8.7,ydzwF|~rbMqAk@eQyKkUkOyHiFgGgFyPaLgJ{FgJ_D}IsCsGwCiHyEgDiCwDuDiJqLsBmBuAi@uFyAmLeDoCqAsHsEgRiMwLqIeU{MeIcGyDuBgF}BcBiAkBsA{CmCyGcHmC_CoFsEoEqDqJyGqHqFcN_MuKqJaCyAwCuAsHsBeOyCwJiBuCmAkH{GkDkCaDmBgBy@gDkAeJiAaK[cFq@yA_@oIoDiEiA
45.98,uoixFdjibMdDpAhDDnWk@rDJvD^hG|AzEpB~BzAbEfD|D|Dx@t@lClAbCh@bIzAzAb@jNrCpGvBjDrBjQvOlL|JpJxGvHlGnHtFlJfJhH~Gb@^r@b@hLhGfGjEtOvInUpOpSdNjIxEtAr@rRfGvCxAVNlCnC~EzFnCzCrBrBpEdDtIdFhEhBvCdA|ErAdHzB~A~@hDvBlBpAfC`BfC~A`EjCf@^dGjFpBzA~CtBhD`C`J~FdJ|FfIlFtCjBnBjA
6.84,kczwFdqsaMoHgNmBoCoDoDeIaFwPeIuLcFkEuAyE_AoXeD{EsBqCeBoA_@kCQeBJwCr@aA`@oXtOyUlN
49.09,kdzwF`rsaMdFdKlEdGzIvHzHdEvAv@rBz@bATjAJdBAhAKjCu@
49.71,ar}wFzekaMDaEy@kJeA}LKkDV_O\iEr@{FzAiGtA}DnBsEdBkCxBmCjE_E|FwEzG_GhMyMzE}CfJmDnKmEtImFjG{FnLgOlCqCtDiCnI_DxQyE|CaBnGsGpBeD~A}DpFsV`CgG~BaEtFqGxAeBzBiFtA{Ft@oHS_CwAmDiBuDa@oA}OyZcAaDoA}EmBwHiBwEgHkMaBoDsAmEaBiHk@{E
44.12,cppxFv}_bMoEgH_CqFeD{LsCqPqBeGeEaGeRiRoP{OuFeD}GaBso@}FsN}AsD_BcCqBiFaG
1.86,cigxFtaraMgPN_VNcFx@gDtAqEnBkEp@eE?cFy@kEiAkFaAkEK}TdBkE`AkDbAyD|CgDvD_FnCcOrFc[lM
52.2,qu}wFlkjaMXjGtAzJ@nB_@tC]~@s@lAuAlAuCbB??mAh@mD`A{Dh@kDJ}F?ePM
57.17,ytexFj}vaMpAqGbBgHrAgGl@sF?oEa@cGoDu\e@cGAsEF}FMkBe@{Ci@}AyN}XqEcLyA}B_As@uA}@{AWiBEaBRoEdA}DZ
19.26,w`exF~xvaMmBaSkCiSw@iLScPW}Hy@eH_BmHcDeIaIaO{DwHyBiG_CsF_C{BmDuAgDIcC`@gDbAgCZ
19.88,_mbxFnufbMnE~@xBP|BOpBeA|A}ArLaQjBgElFiQjHiVvFiPd@kBd@_EB{DQcBi@uB{@cCcEmL??wCcI_AyCgEwMo@wAa^{j@eGiJcAiAyB}Bya@gc@_A{@sFgJcC}CK_@cGm{@uAmS
